,rel,query,author_name
20425,3,Computer Graphics,Andrew McCallum
16210,5,Pattern Recognition,Wei Wang
39711,2,Performance Engineering,Eduardo Gallo
26148,3,Robotics,Shuai Li
41276,2,Software Testing,Kai Petersen
36150,2,Pattern Recognition,Xinchu Shi
35335,1,Embedded Systems,Kees Goossens
40278,2,Remote Sensing,Miguel D. Mahecha
11219,4,Data Mining,Cong Qi
23748,3,Internet of Things,Jongsoon Park
22279,5,Computer Vision,Gilles Brassard
11551,1,Computer Graphics,Judea Pearl
44808,1,Web Services,Leonardo de Moura
41282,2,Software Testing,Young-June Choi
28678,3,Bioinformatics,Helen Parkinson
36131,1,Pattern Recognition,Martin Kraus
35152,5,High-Performance Computing,Hongying Li
29336,3,Big Data Analytics,Jun Zhu
31694,2,Mobile Computing,Sabitri Poudel
4930,1,Deep Learning,Menglong Zhu
38388,1,Computational Finance,Carl Chiarella
23488,4,Virtual Reality,Sebastian Pape
5342,2,Statistical Learning,Leandro dos Santos Coelho
22398,3,Human-Computer Interaction,Chang Hu
42895,1,Visual Analytics,Jo Wood
8739,3,Statistical Learning,Kevin Bryson
4877,1,Statistical Learning,Samy Bengio
40261,1,Remote Sensing,Onisimo Mutanga
11483,1,Computer Vision,Scott Shenker
32526,4,Operating Systems,Leily Farrokhvar
37357,2,Business Intelligence,Dianne Cook
7917,2,Deep Learning,Richard Bowden
41811,4,Statistical Learning,Bernd Bischl
38357,3,Complex Systems,Zi-Qiang Lang
39934,4,Quantitative Analysis,Joerg Franke
38782,2,Artificial Intelligence Ethics,Connor Wright
25550,3,Network Security,Marc A. Zissman
33426,1,Digital Signal Processing,Gaetano Giunta
39045,4,Health Informatics,Niels Peek
38856,1,Digital Image Processing,Waqas Ahmad
37121,4,Autonomous Systems,Sebastian Schirmer
31905,3,Computational Biology,Ana Conesa
24166,2,Cloud Computing,Abir Awad
41232,2,Software Testing,Michele Marchesi
38353,3,Complex Systems,Thomas Kreuz
38401,1,Computational Finance,Tim Leung
41924,5,System Dynamics,Nikolay Pogodaev
10793,5,Machine Learning,Fabien Campagne
31934,5,Computational Biology,Beth Shapiro
8797,4,Reinforcement Learning,Bjoern M. Eskofier
41852,3,System Dynamics,Daniel Alejandro Melchor Aguilar
41578,3,Software Testing,Alexander Serebrenik
33458,1,Wireless Communications,Matthias Pätzold
23511,3,Augmented Reality,Artem R. Oganov
24210,3,Cloud Computing,Florian Marquardt
31615,4,Distributed Systems,Stephan Kleber
21109,3,Scientific Computing,Scott Kirkpatrick
41252,2,Software Testing,Xizhao Wang
31588,3,Distributed Systems,Muhammad Atif Ur Rehman
45057,4,Web Services,Puneet Gupta
38663,5,Computational Finance,Jinghui Chen
38675,1,Computer Aided Engineering,Chiu-Fan Hsieh
41676,4,Software Testing,Kevin Hammond
22460,5,Human-Computer Interaction,Ralf Philipsen
11434,1,Computer Graphics,Li Fei-Fei
36962,3,Digital Forensics,P. Vinod Bhattathiripad
38968,2,Health Informatics,Steffen Leonhardt
24189,2,Mobile Computing,Maninder Singh
36193,2,Pattern Recognition,Marco Mora Cofre
37381,2,Business Intelligence,Wolfram Wiesemann
38360,3,Complex Systems,Kristian Lindgren
26095,2,Robotics,Chang Huang
36187,2,Pattern Recognition,Jinchao Zhang
23713,2,Internet of Things,Kambiz Shoarinejad
36955,2,Digital Forensics,Malek Al-Zewairi
36907,2,Computational Chemistry,B. Jayaram
31171,4,Information Security,Shiyan Hu
31769,3,Game Development,Arthur Bastos
7035,4,Machine Intelligence,Yan Liu
25520,4,Cybersecurity,Luca Viganò
25590,5,Cybersecurity,Monica Scannapieco
35408,3,Embedded Systems,Hritam Dutta
36801,5,Pattern Recognition,Zhou Xiao
5056,2,Artificial Intelligence,Luis M. Sarro
28797,1,Algorithm Design,Pooya Mirzabeygi
7893,4,Machine Intelligence,André Carlos Ponce de Leon Ferreira de Carvalho
35400,3,Embedded Systems,Adrian Calma
32151,3,Computer Architecture,Jose Garcia
23080,3,Cryptography,Adolph Seema
28981,3,Big Data Analytics,Ying Lu
38984,3,Health Informatics,Adam Wright
29616,5,Big Data Analytics,Vladimir Brusic
41801,5,Software Testing,Ita Richardson
31396,2,Parallel Computing,Mikhail Khalilov
31538,2,Distributed Systems,Torben Weis
34806,3,High-Performance Computing,Chengkun Wu
38833,1,Generative AI,Atul Dhingra
33407,5,Operating Systems,Rahul Shukla
21940,3,Computer Graphics,Mubarak Shah
518,1,Information Retrieval,Birger Larsen
